Feature,Mean_ABS_SHAP
Feature40,0.19654420722075683
Feature63,0.11584367628950569
Feature2,0.051129701495930206
Feature60,0.041075284080876295
Feature46,0.03400555286873366
Feature61,0.02956100437594695
Feature50,0.024274219021980743
Feature1,0.018418710020520403
Feature5,0.01737638319063745
Feature39,0.015612866026762982
Feature43,0.01538513229613844
Feature47,0.010674329512795632
Feature57,0.009338994439059648
Feature49,0.008790986361909246
Feature51,0.00836528035526679
Feature3,0.008334860333418768
Feature48,0.008250461321676221
Feature56,0.007847343257601993
Feature45,0.007577115104332696
Feature27,0.006830262209877245
Feature17,0.006557365956839399
Feature55,0.005894097180091442
Feature10,0.00573796885183269
Feature44,0.005098891910267459
Feature25,0.0046921276872588956
Feature30,0.004425370652351484
Feature52,0.004370757419270231
Feature53,0.004231917216079379
Feature62,0.004149040193445464
Feature59,0.004129384033211199
Feature54,0.003944027901051292
Feature18,0.003827230079890677
Feature42,0.0036955936265764752
Feature11,0.0036390195686493362
Feature19,0.003485780135317969
Feature29,0.0032566231714651534
Feature36,0.003065347377668196
Feature8,0.002936531938993384
Feature22,0.002906786967762742
Feature9,0.0028163140741643243
Feature6,0.002626560746762947
Feature58,0.00255852634604479
Feature32,0.002422548037726345
Feature14,0.0023954794607720232
Feature28,0.0023847925251529348
Feature33,0.0021667418265723004
Feature37,0.0021605367930183582
Feature26,0.0021355530274202433
Feature24,0.002035319827947503
Feature13,0.001854229720419125
Feature34,0.0017940822580549563
Feature7,0.0017729616881047433
Feature38,0.0017644373727954746
Feature15,0.001720761337335182
Feature41,0.0017181152442364222
Feature12,0.0016795256233066709
Feature4,0.0013958415365057603
Feature20,0.001376982472513828
Feature31,0.0013111065136893233
Feature23,0.0011767475053142023
Feature21,0.0010417357409162737
Feature16,0.0008567529678283974
Feature35,7.146460504109103e-05
