Feature,Rank
Feature2,1
Feature63,2
Feature46,3
Feature42,4
Feature5,5
Feature57,6
Feature48,7
Feature43,8
Feature22,9
Feature56,10
Feature52,11
Feature17,12
Feature47,13
Feature53,14
Feature39,15
Feature3,16
Feature50,17
Feature15,18
Feature14,19
Feature49,20
Feature45,21
Feature4,22
