Metric,Train_Scaled,Test_Scaled,Train_Unscaled,Test_Unscaled
AUC,0.8376260357392434,0.5160493827160495,0.8383248477588101,0.5157407407407408
F1,0.8226600985221675,0.578125,0.8215158924205379,0.5826771653543307
ACC,0.7559322033898305,0.5263157894736842,0.752542372881356,0.5350877192982456
ACC_0,0.5283018867924528,0.42592592592592593,0.5094339622641509,0.4444444444444444
ACC_1,0.8835978835978836,0.6166666666666667,0.8888888888888888,0.6166666666666667
Time,38.46854329109192,38.46854329109192,35.61254858970642,35.61254858970642
