Feature,Mean_ABS_SHAP
Feature1,0.03208649369423435
Feature15,0.013447330407314741
Feature3,0.012138187604938512
Feature45,0.00585596922088453
Feature52,0.002909993878993959
Feature50,0.0027240903115273783
Feature57,0.0025892535131693383
Feature17,0.002341613755993004
Feature56,0.002215521392952592
Feature42,0.001919352443284661
Feature39,0.0018522879611734928
Feature43,0.0014081554394074136
Feature47,0.0013849533899977305
Feature22,0.0013770300349258122
Feature14,0.0013618565092358968
Feature4,0.0012717172406966429
Feature49,0.0012424724380905238
Feature48,0.001192828013933303
Feature2,0.0010698133954876613
Feature63,0.0010628233969027638
Feature46,0.0010509830940758098
Feature5,0.0009651193576341985
Feature53,0.0007854950825689437
