Experiment,ACCURACY,AUC,F1,ACC_0,ACC_1
AUTO_MMD_LINEAR (Without DA),0.6579 ± 0.0794,0.6696 ± 0.1534,0.7596 ± 0.0721,0.2867 ± 0.2395,0.8443 ± 0.0982
AUTO_MMD_LINEAR (With DA),0.6947 ± 0.0736,0.6860 ± 0.1224,0.8012 ± 0.0631,0.1871 ± 0.1404,0.9592 ± 0.0541
