dataset,accuracy,accuracy_std,auc,auc_std,f1,f1_std,acc_0,acc_0_std,acc_1,acc_1_std
Overall,0.6161581920903955,0.05693642804665337,0.6552560094967756,0.08182184923172596,0.6631265249401213,0.08377572827040976,0.6113176912731989,0.10930953709036945,0.624569449663223,0.11091096857134074
A,0.6442227229055874,0.11481834415373476,0.7159849942486847,0.11008030493026966,0.6853688288564885,0.12249289258885737,0.6631143366437484,0.14871338851231258,0.6370137386058102,0.16458957721627185
B,0.5563708951866847,0.20750230141394618,0.5649206349206349,0.2160793701968926,0.48384370015948963,0.2662768475025713,0.6885714285714286,0.15067162982882137,0.45404761904761903,0.2901595333600081
C,0.6515701017249005,0.14086385273834137,0.6093213383838384,0.19482668216412027,0.7141562678767761,0.18618948704988028,0.4666666666666667,0.24183429901649164,0.7343740981240982,0.21330389995073076
