fold,dataset,accuracy,auc,f1,acc_0,acc_1,sample_count
1,A,0.7580645161290323,0.7313266443701226,0.8148148148148148,0.6086956521739131,0.8461538461538461,62
1,B,0.4117647058823529,0.3194444444444444,0.16666666666666666,0.6666666666666666,0.125,17
1,C,0.5609756097560976,0.5311004784688995,0.5909090909090909,0.45454545454545453,0.6842105263157895,41
2,A,0.5081967213114754,0.5855855855855856,0.5588235294117647,0.5,0.5135135135135135,61
2,B,0.5833333333333334,0.5694444444444445,0.5833333333333334,0.5833333333333334,0.5833333333333334,24
2,C,0.6857142857142857,0.716,0.8070175438596491,0.1,0.92,35
3,A,0.6226415094339622,0.8333333333333334,0.696969696969697,0.8333333333333334,0.5609756097560976,53
3,B,0.4375,0.5757575757575757,0.4375,0.6363636363636364,0.3333333333333333,32
3,C,0.6,0.7264957264957265,0.6818181818181818,0.6666666666666666,0.5769230769230769,35
4,A,0.576271186440678,0.6135265700483091,0.6031746031746031,0.6521739130434783,0.5277777777777778,59
4,B,0.55,0.3737373737373737,0.3076923076923077,0.8181818181818182,0.2222222222222222,20
4,C,0.6341463414634146,0.49470899470899465,0.7540983606557377,0.21428571428571427,0.8518518518518519,41
5,A,0.65,0.7604166666666666,0.6666666666666666,0.75,0.5833333333333334,60
5,B,0.5714285714285714,0.5636363636363637,0.5714285714285714,0.5454545454545454,0.6,21
5,C,0.6842105263157895,0.7035714285714286,0.7857142857142857,0.4,0.7857142857142857,38
