dataset,accuracy,accuracy_std,auc,auc_std,f1,f1_std,acc_0,acc_0_std,acc_1,acc_1_std
Overall,0.6044117647058823,0.03761276777750691,0.6560786948015209,0.06487392958014347,0.6639976181982898,0.0283128466681176,0.578762077294686,0.10370449349919543,0.6317840567840568,0.07620394582536417
A,0.6230347866630296,0.09264842253971847,0.7048377600008034,0.10351401202332164,0.6680898622075093,0.09812925710127748,0.6688405797101449,0.1284981020670135,0.6063508161069138,0.1368271667007247
B,0.5108053221288515,0.08008499774810733,0.48040404040404044,0.12372740116481923,0.4133241758241758,0.1778219632172867,0.65,0.10502743530680833,0.37277777777777776,0.2130611689829826
C,0.6330093526499174,0.05403503579924764,0.6343753256490098,0.11192546005381873,0.723911492591389,0.0881744487703748,0.3670995670995671,0.2197520882812432,0.7637399481610008,0.13591289048671845
