Subgroup,n,AUC,Accuracy,Sensitivity
Overall,4096,0.8022411833585894,0.838623046875,0.08970588235294118
Gender: Male,1807,0.8038215601488724,0.8500276701715551,0.05755395683453238
Gender: Female,2289,0.8006799600302675,0.8296199213630406,0.11194029850746269
