,A_AI4health_ACC,B_Henan_ACC,C_Guangzhou_ACC,A_AI4health_AUC,B_Henan_AUC,C_Guangzhou_AUC
AutoTabPFN,0.6821839080459771,0.631578947368421,0.4628787878787878,0.7840787357923581,0.633538961038961,0.4774107142857143
PKUPH,0.6789655172413793,0.6947368421052631,0.5499999999999999,0.6521834351865312,0.6320321345321346,0.5177380952380953
Mayo,0.35954022988505746,0.34210526315789475,0.475,0.6019043815661462,0.5532323232323232,0.5603472222222223
