Metric,AI4health,Henan,Guangzhou
AUC,0.7781954887218044,0.5876923076923076,0.46212121212121215
F1,0.7951807228915663,0.711864406779661,0.5333333333333333
ACC,0.711864406779661,0.5526315789473685,0.391304347826087
ACC_0,0.42857142857142855,0.0,0.09090909090909091
ACC_1,0.868421052631579,0.84,0.6666666666666666
