Domain,Method,Accuracy,AUC,F1,Class 0 Acc,Class 1 Acc
A_to_B,A,0.5631578947368421,0.6141538461538462,0.5951219512195122,0.7076923076923077,0.488
A_to_B,A,0.5736842105263158,0.6206769230769231,0.6086956521739131,0.7076923076923077,0.504
A_to_B,std,0.5736842105263158,0.6215384615384615,0.6086956521739131,0.7076923076923077,0.504
A_to_C,A,0.5789473684210527,0.5342592592592592,0.5636363636363636,0.6481481481481481,0.5166666666666667
A_to_C,A,0.5789473684210527,0.5317901234567901,0.5636363636363636,0.6481481481481481,0.5166666666666667
A_to_C,std,0.5789473684210527,0.5311728395061728,0.5636363636363636,0.6481481481481481,0.5166666666666667
