Feature,SHAP_Value,Abs_SHAP_Value
Feature40,0.2852556873566625,0.2852556873566625
Feature46,-0.06859653535661152,0.06859653535661152
Feature61,-0.037270135114106144,0.037270135114106144
Feature2,0.027301649919184174,0.027301649919184174
Feature50,-0.022011977948995055,0.022011977948995055
Feature63,0.02096873203615392,0.02096873203615392
Feature47,0.0167411146098506,0.0167411146098506
Feature5,0.016309734419742556,0.016309734419742556
Feature45,-0.008418204361171374,0.008418204361171374
Feature56,0.007801708018927859,0.007801708018927859
Feature51,0.007627811058732337,0.007627811058732337
Feature19,0.006479099586685068,0.006479099586685068
Feature27,0.005822115313256142,0.005822115313256142
Feature48,0.005462711881360244,0.005462711881360244
Feature55,0.00544945735096064,0.00544945735096064
Feature49,0.005261976640265749,0.005261976640265749
Feature60,0.005240310646784947,0.005240310646784947
Feature53,0.005061486844028212,0.005061486844028212
Feature59,-0.004585502920501129,0.004585502920501129
Feature30,0.004579570886915796,0.004579570886915796
Feature3,0.004199138349177826,0.004199138349177826
Feature25,0.003936170282309646,0.003936170282309646
Feature32,0.0037196565082002566,0.0037196565082002566
Feature34,0.0032843020992055125,0.0032843020992055125
Feature10,0.002971542965795474,0.002971542965795474
Feature33,0.0028631398693450736,0.0028631398693450736
Feature52,0.0028415941375877405,0.0028415941375877405
Feature62,-0.002741178066523816,0.002741178066523816
Feature38,0.002657540506594743,0.002657540506594743
Feature11,-0.0023133042225257825,0.0023133042225257825
Feature6,0.0023028680364399756,0.0023028680364399756
Feature24,0.0022475570601291164,0.0022475570601291164
Feature37,0.0020119893805599087,0.0020119893805599087
Feature1,-0.001711461882819491,0.001711461882819491
Feature18,-0.001691612524090863,0.001691612524090863
Feature57,0.0015939310673245093,0.0015939310673245093
Feature26,-0.0011652048915372266,0.0011652048915372266
Feature54,-0.0010751595541392083,0.0010751595541392083
Feature9,0.0010107347596326755,0.0010107347596326755
Feature14,0.0008485317517006596,0.0008485317517006596
Feature12,-0.0008389642852906498,0.0008389642852906498
Feature4,-0.0008110038776127834,0.0008110038776127834
Feature16,0.000791475838173424,0.000791475838173424
Feature17,0.0007844221429168333,0.0007844221429168333
Feature29,0.0007502197425011866,0.0007502197425011866
Feature28,-0.0007245153432734094,0.0007245153432734094
Feature58,0.0006775776340317933,0.0006775776340317933
Feature21,0.000638714342601728,0.000638714342601728
Feature15,0.0006322130272485293,0.0006322130272485293
Feature20,0.0006182345245961766,0.0006182345245961766
Feature13,-0.0005965565653703875,0.0005965565653703875
Feature23,0.000585951436011182,0.000585951436011182
Feature8,0.00043107741152024576,0.00043107741152024576
Feature7,-0.00032711314736564673,0.00032711314736564673
Feature31,-0.00030634430350358805,0.00030634430350358805
Feature22,-0.00012125300234115215,0.00012125300234115215
Feature35,0.0,0.0
Feature36,0.0,0.0
Feature43,0.0,0.0
Feature42,0.0,0.0
Feature41,0.0,0.0
Feature39,0.0,0.0
Feature44,0.0,0.0
