fold,accuracy,auc,f1
1,0.8421052631578947,0.9,0.9032258064516129
2,0.631578947368421,0.6410256410256411,0.7586206896551724
3,0.47368421052631576,0.46153846153846156,0.5833333333333334
4,0.5789473684210527,0.5595238095238095,0.6923076923076923
5,0.5263157894736842,0.5113636363636364,0.6086956521739131
6,0.6842105263157895,0.7,0.8125
7,0.47368421052631576,0.21111111111111114,0.6153846153846154
8,0.631578947368421,0.5512820512820513,0.7741935483870968
9,0.631578947368421,0.5222222222222223,0.72
10,0.631578947368421,0.6714285714285715,0.7407407407407407
