Feature,SHAP_Value,Abs_SHAP_Value
Feature2,0.0414750451842944,0.0414750451842944
Feature1,-0.029850631952285767,0.029850631952285767
Feature3,-0.020757871369520828,0.020757871369520828
Feature6,-0.018631401161352812,0.018631401161352812
Feature54,-0.015935614705085754,0.015935614705085754
Feature50,-0.015091679990291595,0.015091679990291595
Feature49,0.014375865459442125,0.014375865459442125
Feature61,0.013635784387588501,0.013635784387588501
Feature53,-0.013381724556287125,0.013381724556287125
Feature46,-0.011661310990651472,0.011661310990651472
Feature55,-0.011633227268854782,0.011633227268854782
Feature59,0.011083357036113725,0.011083357036113725
Feature42,0.010742244621117919,0.010742244621117919
Feature4,-0.010416202247142806,0.010416202247142806
Feature45,-0.01034942517677942,0.01034942517677942
Feature10,-0.010144226253032698,0.010144226253032698
Feature17,0.007225905855496734,0.007225905855496734
Feature63,0.00702857474486035,0.00702857474486035
Feature51,-0.0066668937603632655,0.0066668937603632655
Feature5,-0.005794537564118685,0.005794537564118685
Feature23,-0.005628290275732653,0.005628290275732653
Feature8,0.0050772875547409335,0.0050772875547409335
Feature58,-0.00433675199747087,0.00433675199747087
Feature52,0.004189337293306977,0.004189337293306977
Feature44,-0.004168334106604263,0.004168334106604263
Feature19,0.0038021380702654567,0.0038021380702654567
Feature56,0.003690426548322051,0.003690426548322051
Feature14,-0.0035825620094935007,0.0035825620094935007
Feature18,0.0034165705243746625,0.0034165705243746625
Feature22,-0.0032380769650141306,0.0032380769650141306
Feature48,0.002721913158893585,0.002721913158893585
Feature13,-0.0026061187187830515,0.0026061187187830515
Feature35,0.00236588716506958,0.00236588716506958
Feature11,0.0020583843191464557,0.0020583843191464557
Feature28,0.002048976719379425,0.002048976719379425
Feature26,0.001822439332803058,0.001822439332803058
Feature9,-0.0017834852139155116,0.0017834852139155116
Feature15,-0.0016438290476799011,0.0016438290476799011
Feature27,-0.001466311514377594,0.001466311514377594
Feature30,-0.0012093360225359506,0.0012093360225359506
Feature25,-0.0011763324340184622,0.0011763324340184622
Feature37,-0.001045291622479752,0.001045291622479752
Feature16,0.0009389345844586922,0.0009389345844586922
Feature20,-0.0006896729270617491,0.0006896729270617491
Feature21,-0.00046599656343460083,0.00046599656343460083
Feature29,0.000352782507737473,0.000352782507737473
Feature57,-0.00033489614725111527,0.00033489614725111527
Feature38,0.00020311276117959687,0.00020311276117959687
Feature24,0.0001333480079968724,0.0001333480079968724
Feature7,-3.186861673992736e-05,3.186861673992736e-05
Feature60,-1.085797945656053e-05,1.085797945656053e-05
Feature47,0.0,0.0
Feature43,0.0,0.0
Feature41,0.0,0.0
Feature39,0.0,0.0
Feature32,0.0,0.0
Feature62,0.0,0.0
Feature31,0.0,0.0
