Feature,SHAP_Value,Abs_SHAP_Value
Feature46,-0.10303007014227429,0.10303007014227429
Feature39,-0.06314861938995874,0.06314861938995874
Feature2,-0.06092042659642474,0.06092042659642474
Feature60,-0.05184412988440026,0.05184412988440026
Feature63,-0.041128283204283834,0.041128283204283834
Feature40,0.04036116405476228,0.04036116405476228
Feature42,0.03429353069330717,0.03429353069330717
Feature50,-0.031165732829925435,0.031165732829925435
Feature61,0.018280713166199655,0.018280713166199655
Feature1,-0.017303669368938984,0.017303669368938984
Feature17,0.01661775360123488,0.01661775360123488
Feature5,0.01578583588950445,0.01578583588950445
Feature62,-0.012179861100773163,0.012179861100773163
Feature10,-0.00985736326105153,0.00985736326105153
Feature25,0.008899628170874696,0.008899628170874696
Feature27,0.008623138053949412,0.008623138053949412
Feature44,-0.008475942377246193,0.008475942377246193
Feature9,-0.006819967214181534,0.006819967214181534
Feature30,0.006809988926714407,0.006809988926714407
Feature45,-0.006720652014037469,0.006720652014037469
Feature11,-0.0063395392118291705,0.0063395392118291705
Feature6,-0.005305945812815256,0.005305945812815256
Feature51,0.0051110789305931865,0.0051110789305931865
Feature48,-0.00500596464295372,0.00500596464295372
Feature28,-0.004443621373216818,0.004443621373216818
Feature49,0.004416298447560862,0.004416298447560862
Feature19,0.00405296187381093,0.00405296187381093
Feature18,-0.0037949462873646165,0.0037949462873646165
Feature24,0.0037679798173706203,0.0037679798173706203
Feature36,0.0037455286087393624,0.0037455286087393624
Feature8,-0.0036653024823909974,0.0036653024823909974
Feature56,0.003577681747689248,0.003577681747689248
Feature7,-0.0034580422916281883,0.0034580422916281883
Feature55,0.003287553720612818,0.003287553720612818
Feature15,0.0026327315311090635,0.0026327315311090635
Feature20,-0.0022368010602480067,0.0022368010602480067
Feature14,0.0021737224252335132,0.0021737224252335132
Feature54,-0.00203178343296929,0.00203178343296929
Feature32,-0.001956373257595142,0.001956373257595142
Feature33,-0.0019333824701221376,0.0019333824701221376
Feature34,0.0018950929700520026,0.0018950929700520026
Feature57,-0.001597281084747169,0.001597281084747169
Feature3,0.0014584496577878248,0.0014584496577878248
Feature58,-0.0014546322169319374,0.0014546322169319374
Feature4,-0.0014207521064682853,0.0014207521064682853
Feature52,0.0014152591604628534,0.0014152591604628534
Feature29,0.001369505623682284,0.001369505623682284
Feature21,0.0013210094783903208,0.0013210094783903208
Feature37,-0.0011257052417247744,0.0011257052417247744
Feature13,0.0008643899932317678,0.0008643899932317678
Feature22,0.0007132829566239748,0.0007132829566239748
Feature53,0.0006764693222305699,0.0006764693222305699
Feature12,-0.0006547884551331614,0.0006547884551331614
Feature26,0.0006455807608543677,0.0006455807608543677
Feature31,0.0002672910735754865,0.0002672910735754865
Feature16,0.00023975733913958464,0.00023975733913958464
Feature38,0.0002274250690629994,0.0002274250690629994
Feature23,-0.0002052083101448665,0.0002052083101448665
Feature59,0.00018626672723121018,0.00018626672723121018
Feature41,0.0,0.0
Feature47,0.0,0.0
Feature35,0.0,0.0
Feature43,0.0,0.0
