Metric,AI4health,Henan,Guangzhou
AUC,0.9210342417889587,0.8982153846153845,0.9719135802469137
F1,0.8844221105527639,0.8292682926829268,0.7142857142857143
ACC,0.8440677966101695,0.7421052631578947,0.5789473684210527
ACC_0,0.6886792452830188,0.3384615384615385,0.1111111111111111
ACC_1,0.9312169312169312,0.952,1.0
Time,334.8274438381195,200.7840964794159,268.865526676178
