Feature,F_Score
Feature56,9.930852417946548
Feature2,9.831038266473522
Feature57,7.714720550931444
Feature1,7.482728046531421
Feature52,6.958064446218961
Feature17,6.638112897828152
Feature49,5.05653729630946
Feature53,3.877518292407326
Feature16,3.6919590030461698
Feature61,3.4867820356059216
