Metric,Mean,Std
AUC,0.45451388888888894,0.09964748975964476
F1,0.5997387416505064,0.11538314451288842
ACC,0.46439393939393936,0.12916117418735942
ACC_0,0.13999999999999999,0.16964014199999297
ACC_1,0.8023809523809524,0.18091060503563994
Time,46.25200266838074,14.643374692014135
