Feature,SHAP_Value,Abs_SHAP_Value
Feature1,0.03142723037824261,0.03142723037824261
Feature3,-0.009300591825953835,0.009300591825953835
Feature15,0.00631498332150095,0.00631498332150095
Feature45,-0.005680936813987914,0.005680936813987914
Feature17,-0.003332434700856979,0.003332434700856979
Feature52,-0.002981853388612482,0.002981853388612482
Feature47,-0.0025530632525212317,0.0025530632525212317
Feature48,-0.0023069687740378264,0.0023069687740378264
Feature39,0.0018533089776762268,0.0018533089776762268
Feature50,0.0017921292055937065,0.0017921292055937065
Feature4,-0.0013578467479372191,0.0013578467479372191
Feature43,-0.0013431658709749717,0.0013431658709749717
Feature42,-0.0007855462223196552,0.0007855462223196552
Feature22,-0.0007206181015660618,0.0007206181015660618
Feature49,-0.0005063112177548345,0.0005063112177548345
Feature5,0.0005030965074241611,0.0005030965074241611
Feature57,-0.0004494932455192002,0.0004494932455192002
Feature46,-0.00037791993192523023,0.00037791993192523023
Feature14,0.0003197923422214533,0.0003197923422214533
Feature2,-0.0002135294184656855,0.0002135294184656855
Feature53,-0.00017842697042903534,0.00017842697042903534
Feature56,-0.00012652611651045587,0.00012652611651045587
Feature63,9.485902234933063e-05,9.485902234933063e-05
