Feature,SHAP_Value,Abs_SHAP_Value
Feature1,-0.03174402935428464,0.03174402935428464
Feature3,-0.00970155430798878,0.00970155430798878
Feature45,-0.006320173166240467,0.006320173166240467
Feature15,0.004779779375758875,0.004779779375758875
Feature17,-0.004755946949251402,0.004755946949251402
Feature56,-0.0046085749047361565,0.0046085749047361565
Feature22,-0.0045371296935322655,0.0045371296935322655
Feature57,-0.004287584630360397,0.004287584630360397
Feature42,-0.002872171438039883,0.002872171438039883
Feature46,0.0021919404214681302,0.0021919404214681302
Feature5,-0.0017341762229617307,0.0017341762229617307
Feature4,-0.0016563514777827222,0.0016563514777827222
Feature14,-0.0016318529643102792,0.0016318529643102792
Feature53,0.001361658893266049,0.001361658893266049
Feature43,0.0011454477602773684,0.0011454477602773684
Feature2,0.0011356103036960525,0.0011356103036960525
Feature52,0.0006835500821540996,0.0006835500821540996
Feature47,-0.0006601527859787764,0.0006601527859787764
Feature63,0.0006538194836178235,0.0006538194836178235
Feature39,-0.00048664612633500526,0.00048664612633500526
Feature49,0.00022613928029534825,0.00022613928029534825
Feature50,-0.000225324404084154,0.000225324404084154
Feature48,1.8151334387150887e-06,1.8151334387150887e-06
