feature_type,n_features,source_auc,source_accuracy,source_f1,target_baseline_auc,target_tca_auc,target_sa_auc,target_coral_auc,target_kmm_auc,tca_improvement,sa_improvement,coral_improvement,kmm_improvement
best3,3,0.7709011164274322,0.7049425287356322,0.7861572352907398,0.608,0.6137846153846154,0.6020923076923077,0.5595076923076923,0.6324923076923077,0.005784615384615388,-0.0059076923076922805,-0.04849230769230772,0.024492307692307702
best4,4,0.7620361509835194,0.6982758620689655,0.7796314611707749,0.638523076923077,0.6317538461538461,0.6220307692307692,0.5977846153846154,0.611323076923077,-0.006769230769230861,-0.016492307692307806,-0.04073846153846161,-0.027200000000000002
best5,5,0.7961084529505581,0.7255172413793104,0.798668900632957,0.6438153846153846,0.6211692307692308,0.6222769230769231,0.5934769230769231,0.5950769230769231,-0.02264615384615376,-0.021538461538461506,-0.05033846153846144,-0.04873846153846151
best6,6,0.8082828282828283,0.7322988505747128,0.8011263496629351,0.6656,0.6481230769230769,0.6484923076923078,0.6125538461538461,0.6963692307692307,-0.017476923076923057,-0.017107692307692157,-0.053046153846153854,0.03076923076923077
best7,7,0.8285273790536948,0.7527586206896552,0.8146881206169132,0.6947692307692308,0.7012923076923077,0.6818461538461538,0.6233846153846153,0.6553846153846155,0.006523076923076854,-0.012923076923077037,-0.07138461538461549,-0.03938461538461535
best8,8,0.8346039340776183,0.7563218390804598,0.8187476346764273,0.6564923076923077,0.7023999999999999,0.649476923076923,0.6003692307692308,0.6574769230769231,0.045907692307692205,-0.0070153846153847566,-0.05612307692307694,0.0009846153846153616
best9,9,0.830489101541733,0.7628735632183908,0.8252703643377963,0.6585846153846153,0.6900923076923077,0.6491076923076923,0.5972923076923077,0.6432,0.03150769230769235,-0.00947692307692305,-0.061292307692307646,-0.01538461538461533
best10,10,0.8423125996810207,0.7732183908045978,0.8308906444882801,0.6721230769230769,0.6978461538461537,0.6612923076923077,0.5889230769230769,0.6509538461538461,0.025723076923076738,-0.0108307692307692,-0.08320000000000005,-0.02116923076923083
best11,11,0.8434875066454014,0.7695402298850575,0.8244656049983392,0.6648615384615384,0.6988307692307691,0.6615384615384614,0.6294153846153846,0.6641230769230769,0.03396923076923075,-0.003323076923076984,-0.035446153846153794,-0.0007384615384614657
best12,12,0.8404731525784157,0.7558620689655172,0.8144796556217508,0.6695384615384614,0.7035076923076923,0.6852923076923076,0.6228923076923077,0.6310153846153846,0.03396923076923086,0.01575384615384623,-0.04664615384615367,-0.03852307692307677
best13,13,0.8448803827751196,0.7525287356321839,0.8108755562107135,0.6604307692307693,0.6880000000000001,0.6695384615384615,0.6348307692307693,0.6338461538461538,0.02756923076923079,0.009107692307692261,-0.025599999999999956,-0.02658461538461543
best14,14,0.8517224880382775,0.7625287356321839,0.8210554796531152,0.6404923076923076,0.641353846153846,0.6139076923076924,0.6630153846153847,0.6595692307692307,0.0008615384615384691,-0.026584615384615207,0.02252307692307709,0.019076923076923102
best15,15,0.8502658160552897,0.7524137931034482,0.8143409212119843,0.6438153846153847,0.6500923076923075,0.6193230769230769,0.6710153846153846,0.6204307692307692,0.006276923076922847,-0.024492307692307813,0.02719999999999989,-0.023384615384615448
best16,16,0.8517703349282296,0.745632183908046,0.8101428141375002,0.6505846153846154,0.6626461538461538,0.6284307692307691,0.6721230769230769,0.6179692307692307,0.012061538461538346,-0.0221538461538463,0.021538461538461506,-0.03261538461538471
best17,17,0.8541892610313664,0.7591954022988505,0.8193306192091685,0.6459076923076923,0.6654769230769231,0.6214153846153846,0.6752,0.6248615384615385,0.019569230769230783,-0.024492307692307702,0.02929230769230773,-0.021046153846153826
best18,18,0.8522753854332802,0.7591954022988505,0.8193306192091685,0.6499692307692306,0.6520615384615386,0.6331076923076924,0.6695384615384614,0.676923076923077,0.0020923076923079487,-0.01686153846153826,0.019569230769230783,0.026953846153846328
best19,19,0.8442849548112706,0.7593103448275862,0.8214769186294995,0.6459076923076923,0.6412307692307693,0.6462769230769231,0.6664615384615384,0.6299076923076923,-0.004676923076923023,0.00036923076923078835,0.020553846153846145,-0.016000000000000014
best20,20,0.8384901648059543,0.7522988505747127,0.8148408022605713,0.6496,0.6462769230769231,0.6788923076923076,0.6663384615384615,0.6591999999999999,-0.003323076923076873,0.029292307692307618,0.01673846153846159,0.009599999999999942
best21,21,0.8432270069112174,0.7557471264367817,0.8172989260794139,0.6536615384615385,0.6440615384615384,0.6507076923076923,0.6466461538461538,0.6724923076923077,-0.009600000000000164,-0.0029538461538461958,-0.0070153846153847566,0.018830769230769207
best22,22,0.8396863370547581,0.7525287356321839,0.8147914876344989,0.6489846153846154,0.6302769230769231,0.6349538461538461,0.6491076923076923,0.6679384615384615,-0.018707692307692314,-0.014030769230769291,0.00012307692307689244,0.0189538461538461
best23,23,0.8386656034024454,0.7627586206896553,0.824551902658072,0.6483692307692308,0.6486153846153846,0.6301538461538462,0.6468923076923077,0.6593230769230769,0.0002461538461537849,-0.018215384615384633,-0.0014769230769231534,0.010953846153846092
