Feature,Rank
Feature39,1
Feature43,2
Feature15,3
Feature17,4
Feature2,5
Feature47,6
Feature3,7
Feature57,8
Feature48,9
Feature56,10
Feature42,11
Feature46,12
Feature14,13
Feature53,14
Feature45,15
Feature52,16
Feature22,17
Feature49,18
Feature5,19
Feature63,20
Feature4,21
Feature50,22
