Metric,A+B CV,C (External)
AUC,0.7446519381882138,0.48703703703703705
F1,0.7780759556239008,0.5714285714285714
ACC,0.6907738095238094,0.47368421052631576
ACC_0,0.39145100384651466,0.25925925925925924
ACC_1,0.8502997342135126,0.6666666666666666
