Feature,SHAP_Value,Abs_SHAP_Value
Feature56,-0.048766749600569405,0.048766749600569405
Feature1,-0.03163784369826316,0.03163784369826316
Feature61,-0.0281269128123919,0.0281269128123919
Feature4,-0.02551873028278353,0.02551873028278353
Feature2,-0.024380805591742202,0.024380805591742202
Feature45,-0.023617811501026174,0.023617811501026174
Feature57,-0.02316457157333692,0.02316457157333692
Feature6,-0.02160204077760377,0.02160204077760377
Feature50,-0.016357788195212705,0.016357788195212705
Feature54,-0.01632693534096083,0.01632693534096083
Feature44,-0.01400818427403766,0.01400818427403766
Feature49,0.013831216841936111,0.013831216841936111
Feature53,-0.013456303626298897,0.013456303626298897
Feature63,0.012910723686218248,0.012910723686218248
Feature55,-0.011427464584509515,0.011427464584509515
Feature10,-0.010535476108392082,0.010535476108392082
Feature32,0.010024279356002794,0.010024279356002794
Feature3,-0.009650811553001383,0.009650811553001383
Feature51,-0.007535236577192933,0.007535236577192933
Feature39,-0.007474148025115326,0.007474148025115326
Feature23,0.007126917441685997,0.007126917441685997
Feature14,-0.0063231425980726855,0.0063231425980726855
Feature58,0.006196141242980964,0.006196141242980964
Feature19,-0.00550659497578939,0.00550659497578939
Feature5,-0.0051631045838197165,0.0051631045838197165
Feature48,-0.004696412632862697,0.004696412632862697
Feature38,-0.004659465203682607,0.004659465203682607
Feature27,-0.00458665564656259,0.00458665564656259
Feature26,0.00450664758682251,0.00450664758682251
Feature13,-0.004240985959768281,0.004240985959768281
Feature17,0.003993702431519822,0.003993702431519822
Feature9,-0.00393397112687429,0.00393397112687429
Feature11,0.0038394679625828945,0.0038394679625828945
Feature59,-0.00372493391235669,0.00372493391235669
Feature60,-0.0036408193409442832,0.0036408193409442832
Feature46,-0.003398444503545754,0.003398444503545754
Feature28,-0.0032106911142667158,0.0032106911142667158
Feature18,-0.0019483802219232224,0.0019483802219232224
Feature15,-0.0019251604874928815,0.0019251604874928815
Feature37,-0.0018311652044455395,0.0018311652044455395
Feature25,-0.0017053000628948073,0.0017053000628948073
Feature8,0.0015255647401015149,0.0015255647401015149
Feature47,-0.001252188036839172,0.001252188036839172
Feature7,0.001033476243416473,0.001033476243416473
Feature22,0.0009686835110187669,0.0009686835110187669
Feature24,-0.000921753545602165,0.000921753545602165
Feature20,-0.0008615081508954459,0.0008615081508954459
Feature30,-0.0007757085065046992,0.0007757085065046992
Feature21,-0.000754391153653465,0.000754391153653465
Feature29,-0.0006383222838243011,0.0006383222838243011
Feature52,0.0006074085831642081,0.0006074085831642081
Feature35,-0.00038663670420645974,0.00038663670420645974
Feature16,-0.00026764348149300315,0.00026764348149300315
Feature62,0.0,0.0
Feature42,0.0,0.0
Feature43,0.0,0.0
Feature41,0.0,0.0
Feature31,0.0,0.0
