Metric,A_AI4health,B_Henan,C_Guangzhou
AUC,0.7682939003693721,0.6758153846153847,0.5857142857142856
F1,0.8101851851851852,0.7919463087248322,0.8484848484848485
ACC,0.7220338983050848,0.6736842105263158,0.7368421052631579
ACC_0,0.3584905660377358,0.15384615384615385,0.0
ACC_1,0.9259259259259259,0.944,1.0
