Metric,B+C CV,A (External)
AUC,0.6204280230719859,0.7040531097134871
F1,0.7365454198960585,0.789587852494577
ACC,0.6012903225806452,0.6711864406779661
ACC_0,0.09265002970885323,0.1509433962264151
ACC_1,0.9362280701754386,0.9629629629629629
