Feature,SHAP_Value,Abs_SHAP_Value
Feature1,-0.031723896235257856,0.031723896235257856
Feature3,-0.012535845555562081,0.012535845555562081
Feature39,0.006557156963404381,0.006557156963404381
Feature45,-0.006320153030579969,0.006320153030579969
Feature15,0.005278382091585804,0.005278382091585804
Feature17,-0.004927407542513767,0.004927407542513767
Feature52,-0.004229077331057804,0.004229077331057804
Feature22,-0.0033210479705969576,0.0033210479705969576
Feature49,-0.0032391426709204806,0.0032391426709204806
Feature4,-0.0032197687672140514,0.0032197687672140514
Feature57,-0.0021696709030125686,0.0021696709030125686
Feature5,-0.0020988168320742852,0.0020988168320742852
Feature42,0.0017078582951704584,0.0017078582951704584
Feature63,-0.001609541654356228,0.001609541654356228
Feature48,0.0013365266024956413,0.0013365266024956413
Feature14,-0.0011305740105667455,0.0011305740105667455
Feature43,-0.0007462397718854847,0.0007462397718854847
Feature56,-0.0006511733344073206,0.0006511733344073206
Feature2,0.0006335889670445738,0.0006335889670445738
Feature47,0.0006319367277549337,0.0006319367277549337
Feature53,0.0005286289316123627,0.0005286289316123627
Feature46,0.0003809293902488187,0.0003809293902488187
Feature50,0.00017824190249609851,0.00017824190249609851
