Feature,SHAP_Value,Abs_SHAP_Value
Feature2,-0.04714485506216683,0.04714485506216683
Feature43,0.04556583861509961,0.04556583861509961
Feature61,-0.026984064529339463,0.026984064529339463
Feature56,0.021467818568150214,0.021467818568150214
Feature4,-0.021324175099531807,0.021324175099531807
Feature6,-0.020657992611328765,0.020657992611328765
Feature44,-0.017876725643873208,0.017876725643873208
Feature54,-0.016854899624983447,0.016854899624983447
Feature58,-0.016069802145163237,0.016069802145163237
Feature50,-0.016058204074700662,0.016058204074700662
Feature57,0.014195137967665965,0.014195137967665965
Feature55,-0.01375556364655496,0.01375556364655496
Feature49,0.013151112943887731,0.013151112943887731
Feature46,-0.012933019548654529,0.012933019548654529
Feature53,-0.011900944014390312,0.011900944014390312
Feature45,-0.011609458674987173,0.011609458674987173
Feature1,-0.010823900500933348,0.010823900500933348
Feature23,-0.010432129104932152,0.010432129104932152
Feature10,-0.009959217160940191,0.009959217160940191
Feature27,-0.009455642352501542,0.009455642352501542
Feature51,-0.00906863311926523,0.00906863311926523
Feature3,-0.008910687019427627,0.008910687019427627
Feature59,0.008660434434811279,0.008660434434811279
Feature63,0.006991556535164527,0.006991556535164527
Feature5,-0.0068726204335689545,0.0068726204335689545
Feature32,0.006138862421115249,0.006138862421115249
Feature28,0.004586362590392426,0.004586362590392426
Feature25,-0.004429095735152572,0.004429095735152572
Feature17,-0.004425970216592155,0.004425970216592155
Feature21,-0.004389314601818739,0.004389314601818739
Feature52,0.00356181338429451,0.00356181338429451
Feature39,-0.0033430978655814986,0.0033430978655814986
Feature47,0.0031065394481023037,0.0031065394481023037
Feature24,-0.0026489757001400063,0.0026489757001400063
Feature38,-0.0025304555892944405,0.0025304555892944405
Feature9,-0.002356604983409269,0.002356604983409269
Feature26,-0.0023556227485338754,0.0023556227485338754
Feature14,-0.002344788362582506,0.002344788362582506
Feature60,0.0023414120078086853,0.0023414120078086853
Feature11,0.002275351434946074,0.002275351434946074
Feature48,0.0022339348991711958,0.0022339348991711958
Feature8,0.001748767991860696,0.001748767991860696
Feature37,0.0017455928027629922,0.0017455928027629922
Feature29,-0.0017450600862502844,0.0017450600862502844
Feature13,0.0015888623893260886,0.0015888623893260886
Feature18,-0.00130482017993927,0.00130482017993927
Feature35,-0.0011768825352191994,0.0011768825352191994
Feature16,-0.0009991886715094433,0.0009991886715094433
Feature22,-0.0009615495800971985,0.0009615495800971985
Feature31,0.0006979790826638424,0.0006979790826638424
Feature15,-0.0006820571919282439,0.0006820571919282439
Feature20,-0.0005475915968417913,0.0005475915968417913
Feature30,-0.0005021964510281904,0.0005021964510281904
Feature7,0.00047036757071811097,0.00047036757071811097
Feature19,0.0003210194408893238,0.0003210194408893238
Feature42,0.0,0.0
Feature41,0.0,0.0
Feature62,0.0,0.0
