Feature,SHAP_Value,Abs_SHAP_Value
Feature52,0.07500260571638746,0.07500260571638746
Feature1,-0.029497931400934846,0.029497931400934846
Feature55,-0.028126555184523255,0.028126555184523255
Feature59,-0.027142698566118867,0.027142698566118867
Feature42,0.023980545500914247,0.023980545500914247
Feature58,-0.023737351099650056,0.023737351099650056
Feature57,0.022791241606076568,0.022791241606076568
Feature39,-0.02039639900128047,0.02039639900128047
Feature56,0.019464100400606768,0.019464100400606768
Feature10,-0.018816962838172913,0.018816962838172913
Feature61,0.01797844966252647,0.01797844966252647
Feature54,-0.01743068794409436,0.01743068794409436
Feature6,-0.01636017362276712,0.01636017362276712
Feature50,-0.016082316637039185,0.016082316637039185
Feature53,-0.01367386678854627,0.01367386678854627
Feature32,0.01289578527212143,0.01289578527212143
Feature49,0.012732153137524904,0.012732153137524904
Feature46,-0.012497246265411377,0.012497246265411377
Feature45,-0.010542685786883055,0.010542685786883055
Feature35,-0.010409330328305572,0.010409330328305572
Feature4,-0.009839581946531964,0.009839581946531964
Feature3,-0.00913048038880028,0.00913048038880028
Feature63,0.007665616770585373,0.007665616770585373
Feature51,-0.00727913777033487,0.00727913777033487
Feature17,-0.007180628677209214,0.007180628677209214
Feature19,0.007149100303649902,0.007149100303649902
Feature14,0.006774663925170926,0.006774663925170926
Feature23,-0.005453772842884078,0.005453772842884078
Feature18,0.004947041471799196,0.004947041471799196
Feature5,-0.004921548068523393,0.004921548068523393
Feature48,-0.00491341451803845,0.00491341451803845
Feature2,0.00418863693873088,0.00418863693873088
Feature13,0.0038140763839086267,0.0038140763839086267
Feature38,-0.0036550909280777116,0.0036550909280777116
Feature22,-0.0028076221545537128,0.0028076221545537128
Feature26,-0.0025851105650266243,0.0025851105650266243
Feature15,-0.0023043776551882472,0.0023043776551882472
Feature7,0.0022158324718475203,0.0022158324718475203
Feature24,-0.002180370191733033,0.002180370191733033
Feature27,0.002175174653530121,0.002175174653530121
Feature28,-0.0021175369620323042,0.0021175369620323042
Feature30,-0.0021056185166040964,0.0021056185166040964
Feature60,0.0018037632107734403,0.0018037632107734403
Feature8,0.0016875763734181884,0.0016875763734181884
Feature21,-0.0015209416548411098,0.0015209416548411098
Feature20,0.0015019923448562345,0.0015019923448562345
Feature16,-0.0013833393653234077,0.0013833393653234077
Feature11,0.0011467064420382228,0.0011467064420382228
Feature31,-0.0008455688754717555,0.0008455688754717555
Feature25,0.00048004339138664476,0.00048004339138664476
Feature29,0.00046386818091076476,0.00046386818091076476
Feature37,-0.0004181141654650139,0.0004181141654650139
Feature9,0.00022669136524201133,0.00022669136524201133
Feature47,0.0,0.0
Feature44,0.0,0.0
Feature43,0.0,0.0
Feature41,0.0,0.0
Feature62,0.0,0.0
