Metric,Mean,Std
AUC,0.8094459499622039,0.07496235109364245
F1,0.7946799640001507,0.07151388943532509
ACC,0.7196551724137931,0.09129786646635912
ACC_0,0.48310300810300805,0.18376073325143938
ACC_1,0.8559840834260338,0.09597352788618585
Time,0.6209170341491699,0.4564689747894124
