fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.6333333333333333,0.7268518518518519,0.7027027027027027,0.5,0.7222222222222222,3.7799744606018066
2,0.7666666666666667,0.7727272727272727,0.851063829787234,0.375,0.9090909090909091,1.522730827331543
3,0.6666666666666666,0.72,0.7727272727272727,0.3,0.85,1.5051686763763428
4,0.6666666666666666,0.7692307692307692,0.75,0.38461538461538464,0.8823529411764706,1.5235743522644043
5,0.7333333333333333,0.7354497354497355,0.8095238095238095,0.5555555555555556,0.8095238095238095,1.6373353004455566
6,0.7241379310344828,0.8506493506493507,0.8,0.7142857142857143,0.7272727272727273,1.5143589973449707
7,0.8275862068965517,0.9105263157894736,0.8717948717948718,0.7,0.8947368421052632,1.5092570781707764
8,0.6551724137931034,0.8434343434343434,0.7619047619047619,0.2727272727272727,0.8888888888888888,1.5140490531921387
9,0.7241379310344828,0.8990384615384616,0.7647058823529411,0.6153846153846154,0.8125,1.508913516998291
10,0.7931034482758621,0.889423076923077,0.8333333333333334,0.6153846153846154,0.9375,1.5093927383422852
