Metric,Mean,Std
AUC,0.813217979245843,0.07191759574706455
F1,0.8020646400589317,0.05124566045566806
ACC,0.7327586206896552,0.06390145320974823
ACC_0,0.5234973359973359,0.15717497922862927
ACC_1,0.8542042885734837,0.06674430937531337
Time,5.629712796211242,0.04665539139338778
