n_estimators,softmax_temperature,balance_probabilities,average_before_softmax,ignore_pretraining_limits,random_state,AUC,ACC,F1,Time
16,0.9,False,False,True,42,0.8117331177594336,0.719080459770115,0.7917756464126927,1.7524755001068115
32,0.9,False,False,True,42,0.8131366586629744,0.7260919540229884,0.7959326825855108,2.8940809965133667
64,0.9,False,False,True,42,0.813217979245843,0.7327586206896552,0.8020646400589317,5.629712796211242
32,0.5,False,False,True,42,0.80850669657713,0.7260919540229884,0.7959326825855108,2.8807629585266112
32,1.0,False,False,True,42,0.8136174278937437,0.7260919540229884,0.7959326825855108,2.8699522972106934
32,0.9,True,False,True,42,0.8131366586629744,0.7358620689655172,0.7761152065393746,2.9034978628158568
32,0.9,False,True,True,42,0.8141089978706079,0.7260919540229884,0.7959326825855108,2.889217805862427
