fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.6333333333333333,0.7314814814814815,0.7027027027027027,0.5,0.7222222222222222,5.612393140792847
2,0.7666666666666667,0.7784090909090908,0.851063829787234,0.375,0.9090909090909091,5.620673418045044
3,0.6666666666666666,0.705,0.7727272727272727,0.3,0.85,5.617533445358276
4,0.6666666666666666,0.7647058823529412,0.75,0.38461538461538464,0.8823529411764706,5.620370149612427
5,0.7666666666666667,0.7513227513227514,0.8292682926829268,0.6666666666666666,0.8095238095238095,5.634190082550049
6,0.7586206896551724,0.8506493506493507,0.8292682926829268,0.7142857142857143,0.7727272727272727,5.609384536743164
7,0.8275862068965517,0.9052631578947368,0.8717948717948718,0.7,0.8947368421052632,5.6137731075286865
8,0.6896551724137931,0.8383838383838383,0.7804878048780488,0.36363636363636365,0.8888888888888888,5.766384840011597
9,0.7241379310344828,0.9038461538461539,0.7647058823529411,0.6153846153846154,0.8125,5.596401691436768
10,0.7931034482758621,0.8846153846153847,0.8333333333333334,0.6153846153846154,0.9375,5.6099677085876465
