fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.7333333333333333,0.7407407407407408,0.75,0.8333333333333334,0.6666666666666666,2.8931961059570312
2,0.8333333333333334,0.8068181818181819,0.8780487804878049,0.875,0.8181818181818182,3.0377299785614014
3,0.6666666666666666,0.7000000000000001,0.7619047619047619,0.4,0.8,2.8859548568725586
4,0.7666666666666667,0.7692307692307693,0.7741935483870968,0.8461538461538461,0.7058823529411765,2.890916585922241
5,0.6,0.7513227513227514,0.6470588235294118,0.7777777777777778,0.5238095238095238,2.8936078548431396
6,0.6896551724137931,0.8506493506493507,0.7567567567567568,0.8571428571428571,0.6363636363636364,2.8873376846313477
7,0.7931034482758621,0.9105263157894736,0.8235294117647058,0.9,0.7368421052631579,2.8836565017700195
8,0.6896551724137931,0.8232323232323232,0.7567567567567568,0.5454545454545454,0.7777777777777778,2.894465446472168
9,0.8275862068965517,0.8990384615384616,0.8387096774193549,0.8461538461538461,0.8125,2.883587598800659
10,0.7586206896551724,0.8798076923076924,0.7741935483870968,0.7692307692307693,0.75,2.884526014328003
