Feature,SHAP_Value,Abs_SHAP_Value
Feature46,-0.10643770176747587,0.10643770176747587
Feature63,-0.03683638164087292,0.03683638164087292
Feature50,-0.03114123265332717,0.03114123265332717
Feature1,-0.02519147580851441,0.02519147580851441
Feature57,-0.020743061254838272,0.020743061254838272
Feature60,-0.019934065081541052,0.019934065081541052
Feature48,-0.018511753210916127,0.018511753210916127
Feature61,-0.0119901906894821,0.0119901906894821
Feature5,0.011016223749059417,0.011016223749059417
Feature3,0.009804702091643686,0.009804702091643686
Feature52,0.009127620746387732,0.009127620746387732
Feature56,-0.008481175374506258,0.008481175374506258
Feature15,0.00799979617067507,0.00799979617067507
Feature25,-0.00702131470720289,0.00702131470720289
Feature29,0.00649535404743357,0.00649535404743357
Feature22,-0.006462798333282768,0.006462798333282768
Feature45,-0.006395184474171339,0.006395184474171339
Feature54,-0.006130853953348794,0.006130853953348794
Feature8,-0.00604911606848052,0.00604911606848052
Feature27,-0.0059996465432162055,0.0059996465432162055
Feature18,-0.005741388549720071,0.005741388549720071
Feature51,0.00549227108801172,0.00549227108801172
Feature59,-0.005186754144221965,0.005186754144221965
Feature11,-0.004818672068581664,0.004818672068581664
Feature26,-0.004806711197666874,0.004806711197666874
Feature13,0.004471388364467786,0.004471388364467786
Feature55,0.004266424431249046,0.004266424431249046
Feature34,0.0042017187339400035,0.0042017187339400035
Feature6,-0.004043558497309742,0.004043558497309742
Feature49,0.004008539294656989,0.004008539294656989
Feature53,0.003778352375559804,0.003778352375559804
Feature9,-0.003501402578040593,0.003501402578040593
Feature2,-0.003358073847075186,0.003358073847075186
Feature30,-0.0030323529370310334,0.0030323529370310334
Feature7,-0.0030046829938560615,0.0030046829938560615
Feature31,0.0029551340579630214,0.0029551340579630214
Feature32,0.002571880020734931,0.002571880020734931
Feature16,0.0024461605565843925,0.0024461605565843925
Feature33,0.0022919694879461605,0.0022919694879461605
Feature24,-0.0022073157253084583,0.0022073157253084583
Feature4,-0.0021628914491288453,0.0021628914491288453
Feature37,-0.0020781396834151367,0.0020781396834151367
Feature20,-0.001979144925913473,0.001979144925913473
Feature19,-0.001710421199876716,0.001710421199876716
Feature12,-0.0016983334780557118,0.0016983334780557118
Feature23,-0.0016314915160898873,0.0016314915160898873
Feature58,-0.0015554640226280493,0.0015554640226280493
Feature47,0.0015256924556727076,0.0015256924556727076
Feature28,-0.0014828765503274906,0.0014828765503274906
Feature17,0.0013045416449481474,0.0013045416449481474
Feature21,0.0008573482549067794,0.0008573482549067794
Feature14,0.0006768855448804761,0.0006768855448804761
Feature10,0.0003074525060937361,0.0003074525060937361
Feature38,-0.00016271114517450724,0.00016271114517450724
Feature36,-0.00012824261910471257,0.00012824261910471257
Feature43,0.0,0.0
Feature39,0.0,0.0
Feature40,0.0,0.0
Feature41,0.0,0.0
Feature44,0.0,0.0
Feature35,0.0,0.0
Feature62,0.0,0.0
Feature42,0.0,0.0
